url,model,year,price,miles,type,color,status,image
https://www.carvana.com/vehicle/1953319,Model S,2013,37990,61114,Performance,color,Available,https://cdnblob.fastly.carvana.io/2001166107/post-large/2001166107-edc-02-search.jpg?v=2021.8.26_13.30.21
https://shift.com/car/2015-black-tesla-model-s/c1608031,Model S,2015,48950,61000,85D,color,Available Now,https://shiftcars1.imgix.net/content/con1DVQpnwOeSA6uwy3lNA2kcTZnx0W8ezRaO46kdKlMLJZiFkyb81?w=500&auto=format%2Ccompress
https://www.vroom.com/inventory/tesla-model-3-2018-5YJ3E1EB7JF071293,Model 3,2018,42999,60819,Long Range,color,Sale Pending,
https://www.vroom.com/inventory/tesla-model-s-2015-5YJSA1S2XFF094358,Model S,2015,36999,60543,70D,color,Available Soon,
https://www.vroom.com/inventory/tesla-model-3-2019-5YJ3E1EB5KF144808,Model 3,2019,41999,60306,AWD LONG RANGE 4DR FASTBACK,color,Available Soon,
https://www.vroom.com/inventory/tesla-model-s-2017-5YJSA1E27HF194660,Model S,2017,45999,60253,75D,color,Available Soon,
https://www.vroom.com/inventory/tesla-model-3-2018-5YJ3E1EA4JF018977,Model 3,2018,39999,59442,LONG RANGE 4DR FASTBACK,color,Available Soon,
https://www.vroom.com/inventory/tesla-model-s-2017-5YJSA1E21HF206818,Model S,2017,45999,59410,AWD 75D 4DR LIFTBACK,color,Available Soon,
https://shift.com/car/2016-silver-tesla-model-x/c117171,Model X,2016,54450,59000,90D,color,COMING SOON,https://shiftcars1.imgix.net/content/con1wllfnkfPxLg2UtrRUECFSq18jFnnIouYip0Oai1GRA0gg8yJMB?w=500&auto=format%2Ccompress
https://www.carvana.com/vehicle/1899457,Model X,2017,64990,58136,100D,color,Available,https://carvanaevoxprodblob.blob.core.windows.net/evox/color_0640_032_png/MY2019/13547/13547_cc0640_032_PBSB.png
